Sportart,Sportartengruppe,Jahr,Jahreskurse,Saisonkurse,Sammellager,Total Kurse,Angebote,Kleingruppe,Grossgruppe,Kursdauer in Min. 90,Kursdauer in Min. 90 2,Trainings pro Woche 1,Trainings pro Woche 2,Trainings pro Woche 3,Trainings pro Woche 4,Trainings pro Woche 5,Wettkampf-kategorie 0,Wettkampf-kategorie 1,Wettkampf-kategorie 2,Wettkampf-kategorie 3,Trainingslagertage,Knaben,Mädchen,Total Teilnehmer,Anzahl tätige Leiter,Leiteraktivitäten,J+S-Kurspauschale,Coach entschädigung,Total Auszahlungen
Fussball,Fussball,2009,1524,7780,197,9501,1498,2087,7414,134,9170,621,6344,1991,267,81,802,677,4996,2829,4587,109869,11972,121841,13971,,11383477,1134770,12518247
Geräteturnen,Geräte- und Kunstturnen,2009,649,565,40,1254,528,554,700,49,1165,565,553,87,9,0,566,381,190,79,553,2955,11280,14235,4083,,1134283,111756,1246039
Gymnastik und Tanz,Gymnastik und Tanz,2009,290,297,8,595,241,258,337,242,345,483,97,7,0,0,464,78,32,13,71,266,5888,6154,1038,,319289,31674,350963
Handball,Handball,2009,650,240,43,933,195,240,693,18,872,263,452,140,31,4,199,258,307,132,862,7111,3485,10596,1918,,1417336,141264,1558600
Inlinehockey,Rollsport,2009,32,22,1,55,20,17,38,2,52,19,34,1,0,0,2,24,13,15,19,535,48,583,118,,63734,6344,70078
Ju-Jitsu,Ju-Jitsu,2009,79,85,4,168,80,86,82,42,122,140,21,3,0,0,164,1,0,0,24,1041,589,1630,466,,86373,8561,94934
Judo,Judo,2009,544,617,32,1193,262,554,639,384,777,1077,71,13,0,0,870,145,75,75,283,8855,3455,12310,3453,,612145,60651,672796
Karate,Karate,2009,403,404,21,828,183,348,480,477,330,444,291,60,9,3,657,89,48,17,185,5194,2872,8066,2216,,577153,57344,634497
Korbball,Turnen,2009,43,60,2,105,58,54,51,14,89,77,26,0,0,0,53,31,15,5,30,266,809,1075,239,,62676,6218,68894
Kunstradfahren,Radsport,2009,28,29,3,60,24,51,9,9,48,31,18,2,6,0,27,9,16,6,21,35,323,358,156,,34143,3388,37531
Kunstturnen,Geräte- und Kunstturnen,2009,93,57,5,155,89,114,41,1,149,43,40,31,17,19,71,32,17,31,354,398,685,1083,604,,179472,17876,197348
Landhockey,Landhockey,2009,62,7,5,74,17,46,28,4,65,27,38,4,0,0,26,24,9,10,44,417,191,608,209,,76061,7571,83632
Leichtathletik,Leichtathletik,2009,459,770,91,1320,449,593,727,55,1174,657,323,186,51,12,414,221,171,426,1414,6454,7353,13807,4194,,1172732,116600,1289332
Mountainbike,Radsport,2009,29,90,5,124,73,83,41,8,111,93,21,5,0,0,70,17,4,28,184,820,196,1016,539,,66137,6566,72703
Nationalturnen,Nationalturnen,2009,9,5,0,14,12,7,7,2,12,11,3,0,0,0,2,9,1,2,0,166,2,168,55,,9217,917,10134
Orientierungslauf,Orientierungslauf,2009,30,90,20,140,68,82,58,14,106,90,25,5,0,0,16,6,16,85,298,621,490,1111,869,,89065,8860,97925
Quer (Radsport),Radsport,2009,7,1,0,8,4,4,4,1,7,4,3,1,0,0,3,0,3,2,40,61,3,64,50,,9274,923,10197
Radball,Radsport,2009,22,24,0,46,19,33,13,3,43,34,11,1,0,0,15,13,8,10,50,340,19,359,134,,29643,2943,32586
Reiten,Pferdesport,2009,57,188,34,279,63,275,4,118,127,214,21,9,0,1,218,17,3,16,294,163,1160,1323,462,,67856,6494,74350
Rettungsschwimmen,Schwimmsport,2009,69,125,5,199,73,91,108,143,51,181,10,3,0,0,157,36,0,1,64,801,1254,2055,723,,80641,7986,88627
Rhythmische Gymnastik,Gymnastik und Tanz,2009,25,61,1,87,37,69,18,1,85,17,28,25,16,0,30,17,24,15,134,4,574,578,237,,77190,7683,84873
Rhönrad,Rhönrad,2009,12,4,2,18,6,11,7,3,13,11,4,1,0,0,12,3,1,0,10,26,150,176,48,,13164,1308,14472
Ringen,Ringen,2009,18,8,1,27,13,18,9,2,24,10,9,7,0,0,8,0,2,16,22,185,24,209,80,,23765,2366,26131
Rock n` Roll,Gymnastik und Tanz,2009,37,21,5,63,22,49,14,23,35,38,15,5,0,0,47,4,5,4,25,139,317,456,161,,34811,3456,38267
Rollhockey,Rollsport,2009,16,33,0,49,17,28,21,3,46,10,36,3,0,0,9,29,7,4,7,345,50,395,101,,39507,3930,43437
Rollkunstlauf,Rollsport,2009,11,6,4,21,5,12,9,0,17,10,4,1,2,0,16,3,1,0,23,40,124,164,55,,12140,1204,13344
Rugby,Rugby,2009,30,5,0,35,15,7,28,2,33,23,12,0,0,0,13,11,8,3,12,523,9,532,98,,42046,4189,46235
Schwimmen,Schwimmsport,2009,414,407,69,890,180,486,404,488,333,413,144,141,66,57,598,126,53,47,1286,3387,4379,7766,2258,,781559,77779,859338
Schwingen,Nationalturnen,2009,139,45,1,185,98,84,101,4,180,144,36,3,1,0,54,18,45,67,86,1818,23,1841,690,,154464,15380,169844
Speedskating (Rollsport),Rollsport,2009,2,10,0,12,7,9,3,2,10,6,5,0,1,0,10,0,0,2,0,53,42,95,58,,6395,636,7031
Squash,Squash,2009,28,34,1,63,25,49,14,13,49,55,6,1,0,0,34,7,8,13,20,319,105,424,159,,29048,2439,31487
Strasse (Radsport),Radsport,2009,17,27,2,46,33,33,13,4,40,22,14,6,0,2,13,4,6,21,94,297,30,327,162,,33547,3340,36887
Streethockey,Landhockey,2009,28,5,0,33,14,15,18,6,27,14,19,0,0,0,6,15,9,3,6,316,22,338,58,,37554,3740,41294
Synchronized Skating,Eislauf,2009,3,9,2,14,6,5,9,8,4,8,4,0,0,0,6,2,3,1,16,4,147,151,20,,7391,731,8122
Synchronschwimmen,Schwimmsport,2009,50,22,10,82,29,67,15,2,70,11,21,22,10,8,46,18,7,1,184,3,560,563,246,,94070,9366,103436
Tanzsport,Gymnastik und Tanz,2009,4,16,0,20,10,9,11,15,5,17,2,1,0,0,10,3,6,1,6,42,134,176,29,,7813,776,8589
Tchoukball,Tchoukball,2009,40,3,0,43,16,24,19,0,43,37,6,0,0,0,36,5,1,1,0,271,108,379,106,,30204,2997,33201
Tennis,Tennis,2009,465,4620,65,5150,726,4796,354,3418,1667,4802,221,39,11,12,4572,174,130,210,389,15528,8735,24263,9052,,1051670,103462,1155132
Tischtennis,Tischtennis,2009,224,53,0,277,147,130,147,13,264,190,73,13,1,0,167,38,19,53,30,2308,319,2627,758,,229508,22843,252351
Trampolin,Geräte- und Kunstturnen,2009,27,23,2,52,26,32,20,0,50,25,20,5,0,0,26,8,13,4,56,167,264,431,251,,45371,4509,49880
Trial (Radsport),Radsport,2009,3,8,0,11,6,9,2,3,8,8,2,1,0,0,6,2,1,2,6,75,6,81,38,,7266,722,7988
Triathlon,Triathlon,2009,11,15,2,28,21,21,7,7,19,2,8,12,2,2,14,3,2,8,76,104,93,197,127,,29511,2946,32457
Turnen,Turnen,2009,2026,1572,67,3665,1360,1633,2032,684,2914,3074,490,31,3,0,2294,901,273,135,768,14661,24218,38879,10687,,2178102,215714,2393816
Unihockey,Unihockey,2009,732,251,33,1016,258,299,717,33,950,440,473,66,4,0,307,536,108,33,552,9270,2329,11599,1882,,1220641,121558,1342199
Volleyball,Volleyball,2009,1136,477,48,1661,431,622,1039,64,1549,1045,505,55,6,2,702,499,288,131,449,3074,13650,16724,3321,,1540594,153179,1693773
Voltigieren (Pferdesport),Pferdesport,2009,35,42,5,82,37,65,17,10,67,31,27,13,6,0,43,17,12,6,205,21,534,555,162,,64199,6328,70527
Wasserball,Schwimmsport,2009,44,18,3,65,24,28,37,9,53,25,15,15,6,1,36,11,10,5,103,436,160,596,164,,93721,9345,103066
Wasserspringen,Schwimmsport,2009,18,10,0,28,10,20,8,1,27,15,10,3,0,0,23,4,1,0,0,112,81,193,67,,18365,1823,20188
Bahn (Radsport),Radsport,2010,2,2,0,4,2,1,3,1,3,3,1,0,0,0,4,0,0,0,0,82,14,96,11,,4640,462,5102
Baseball/Softball,Baseball/Softball,2010,2,25,1,28,12,21,7,2,25,8,18,1,0,0,13,7,4,3,4,166,32,198,77,,13041,1295,14336
Basketball,Basketball,2010,558,159,13,730,149,221,509,26,691,131,405,138,32,11,193,198,210,116,126,5314,2160,7474,1425,,1159757,115664,1275421
Curling,Curling,2010,4,58,0,62,26,48,14,0,62,41,21,0,0,0,27,6,9,20,6,237,196,433,146,,25775,2554,28329
Eishockey,Eishockey,2010,479,201,25,705,146,201,504,85,595,61,256,308,54,1,144,73,170,293,1318,7756,327,8083,2130,,1351714,134880,1486594
Eiskunstlauf/ Eistanz,Eislauf,2010,110,426,44,580,100,412,168,390,146,319,107,59,32,19,391,77,36,32,690,240,3725,3965,1344,,280871,27841,308712
Eisschnelllauf/ Short Track,Eislauf,2010,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,16,4,2,6,2,,1100,110,1210
Faustball,Turnen,2010,26,70,6,102,39,52,50,3,93,54,36,5,1,0,20,45,16,15,79,548,235,783,273,,74249,7382,81631
Fechten,Fechten,2010,90,36,4,130,34,52,78,27,99,71,32,17,3,3,70,17,13,26,64,996,419,1415,359,,143239,14271,157510
Freitauchen,Freitauchen,2010,1,1,0,2,1,2,0,0,2,1,1,0,0,0,2,0,0,0,0,6,6,12,4,,722,71,793
Fussball,Fussball,2010,2816,5817,211,8844,1389,1871,6973,124,8509,524,5892,1906,256,55,816,670,4450,2697,4515,97616,11181,108797,12945,,12086233,1205057,13291290
Geräteturnen,Geräte- und Kunstturnen,2010,830,399,39,1268,528,514,754,58,1171,555,558,110,6,0,594,412,158,65,664,3014,11070,14084,4069,,1268172,126246,1394418
Golf,Golf,2010,8,106,5,119,28,95,24,34,80,94,18,2,0,0,68,14,10,22,32,522,255,777,238,,35600,3507,39107
Gymnastik und Tanz,Gymnastik und Tanz,2010,358,309,10,677,250,289,388,301,366,563,90,14,0,0,555,78,23,11,97,329,6608,6937,1140,,379185,37654,416839
Handball,Handball,2010,748,192,36,976,216,238,738,25,915,246,494,157,39,4,232,231,347,130,934,7192,3553,10745,2061,,1566102,156220,1722322
Inlinehockey,Rollsport,2010,44,26,1,71,26,27,44,5,65,22,47,1,0,0,7,22,16,25,57,674,66,740,144,,85102,8478,93580
Ju-Jitsu,Ju-Jitsu,2010,105,72,6,183,83,101,82,45,132,159,17,1,0,0,176,1,0,0,32,981,585,1566,430,,89507,8868,98375
Judo,Judo,2010,616,562,34,1212,255,547,665,400,778,1083,80,13,1,1,904,105,83,86,247,8735,3055,11790,3377,,650408,64523,714931
Karate,Karate,2010,506,340,16,862,206,463,399,555,291,466,318,58,3,1,760,53,20,13,175,4956,2610,7566,2414,,570012,56625,626637
Korbball,Turnen,2010,47,60,2,109,60,62,47,14,93,83,24,0,0,0,43,45,13,6,21,246,690,936,256,,65097,6462,71559
Kunstradfahren,Radsport,2010,36,8,1,45,20,38,7,9,35,23,14,6,1,0,22,7,6,9,9,37,225,262,123,,31762,3156,34918
Kunstturnen,Geräte- und Kunstturnen,2010,70,58,4,132,77,100,32,1,127,30,28,22,23,25,48,22,36,22,237,297,628,925,445,,148857,14832,163689
Landhockey,Landhockey,2010,57,5,5,67,15,32,35,2,60,19,36,7,0,0,24,25,9,4,42,370,174,544,193,,77707,7738,85445
Leichtathletik,Leichtathletik,2010,601,645,100,1346,473,521,825,59,1187,651,361,175,45,14,452,228,175,391,1500,6489,7506,13995,4189,,1287929,128214,1416143
Mountainbike,Radsport,2010,37,100,6,143,84,86,57,8,129,109,19,9,0,0,76,16,13,32,179,1006,214,1220,602,,85191,8477,93668
Nationalturnen,Nationalturnen,2010,17,4,1,22,19,10,12,1,20,17,4,0,0,0,4,7,6,4,5,234,17,251,78,,16119,1603,17722
Orientierungslauf,Orientierungslauf,2010,33,76,19,128,67,56,72,15,94,83,23,3,0,0,14,5,12,78,281,572,405,977,832,,92520,9216,101736
Quer (Radsport),Radsport,2010,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,4,0,4,21,,636,63,699
Radball,Radsport,2010,27,18,0,45,19,29,16,1,44,34,9,2,0,0,17,13,10,5,32,300,52,352,132,,34087,3388,37475
Reiten,Pferdesport,2010,97,262,48,407,69,393,14,146,213,329,21,7,2,0,317,9,7,26,334,211,1570,1781,654,,96437,9428,105865
Rettungsschwimmen,Schwimmsport,2010,85,124,2,211,79,104,107,154,55,195,12,2,0,0,193,16,0,0,29,936,1273,2209,744,,81063,8029,89092
Rhythmische Gymnastik,Gymnastik und Tanz,2010,22,56,0,78,36,56,22,6,72,20,12,27,18,1,28,14,19,17,95,5,543,548,218,,72342,7204,79546
Rhönrad,Rhönrad,2010,21,9,0,30,10,18,12,6,24,23,7,0,0,0,26,4,0,0,4,19,259,278,78,,19277,1914,21191
Ringen,Ringen,2010,43,13,6,62,26,35,27,0,56,22,23,10,1,0,13,7,7,29,81,464,30,494,267,,60958,6071,67029
Rock n` Roll,Gymnastik und Tanz,2010,52,23,6,81,29,59,22,28,47,59,9,6,1,0,62,2,8,3,60,179,386,565,211,,43465,4310,47775
Rollhockey,Rollsport,2010,27,14,1,42,15,24,18,1,40,8,30,3,0,0,4,22,10,5,16,291,50,341,90,,44490,4427,48917
Rollkunstlauf,Rollsport,2010,8,0,0,8,5,7,1,0,8,2,2,2,2,0,4,1,2,1,5,10,51,61,11,,9173,915,10088
Rugby,Rugby,2010,43,13,1,57,23,28,29,5,51,29,27,0,0,0,26,19,10,1,16,583,16,599,193,,54769,5462,60231
Schwimmen,Schwimmsport,2010,527,310,61,898,199,464,434,515,322,429,122,135,88,63,624,101,72,40,1410,3397,4300,7697,2191,,862925,85907,948832
Schwingen,Nationalturnen,2010,176,45,3,224,104,120,104,2,219,168,48,5,0,0,56,19,59,87,111,2001,40,2041,896,,185147,18426,203573
Speedskating (Rollsport),Rollsport,2010,0,7,0,7,5,5,2,0,7,4,2,0,1,0,5,1,1,0,0,24,23,47,34,,3241,323,3564
Sportschiessen,Sportschiessen,2010,0,285,3,288,192,240,48,99,186,257,24,4,0,0,119,78,40,48,19,1632,344,1976,531,,73988,7335,81323
Squash,Squash,2010,24,68,3,95,26,70,25,19,73,85,6,1,0,0,46,8,9,29,26,487,147,634,258,,35227,3487,38714
Strasse (Radsport),Radsport,2010,13,33,2,48,28,34,14,0,46,27,10,6,1,2,22,3,8,13,85,291,43,334,195,,31171,3102,34273
Streethockey,Landhockey,2010,26,14,0,40,21,20,20,6,34,15,24,0,1,0,7,13,11,9,9,372,23,395,75,,41572,4147,45719
Synchronized Skating,Eislauf,2010,4,5,1,10,5,3,7,7,2,6,3,0,0,0,5,3,0,1,5,3,107,110,15,,5328,528,5856
Synchronschwimmen,Schwimmsport,2010,62,7,9,78,24,54,24,2,67,10,18,20,15,6,38,22,8,1,209,3,502,505,245,,106265,10585,116850
Tanzsport,Gymnastik und Tanz,2010,4,8,0,12,6,7,5,5,7,12,0,0,0,0,9,2,1,0,0,21,65,86,21,,4693,466,5159
Tchoukball,Tchoukball,2010,33,2,0,35,15,22,13,0,35,29,6,0,0,0,27,5,2,1,0,243,94,337,72,,25069,2492,27561
Tennis,Tennis,2010,1138,7065,73,8276,733,7830,446,5754,2449,7969,162,54,9,9,7650,179,133,241,408,24672,11659,36331,12744,,1623056,158411,1781467
Tischtennis,Tischtennis,2010,253,68,1,322,170,141,181,14,307,231,70,13,5,2,196,40,28,57,105,2616,344,2960,891,,273999,27313,301312
Trampolin,Geräte- und Kunstturnen,2010,19,15,1,35,18,22,13,0,34,17,12,5,0,0,13,7,5,9,31,115,160,275,123,,29094,2897,31991
Trial (Radsport),Radsport,2010,7,0,0,7,4,4,3,2,5,4,3,0,0,0,5,0,2,0,16,63,6,69,26,,6310,629,6939
Triathlon,Triathlon,2010,16,17,4,37,25,27,10,13,20,5,12,10,6,0,19,6,4,4,74,123,113,236,187,,31833,3177,35010
Turnen,Turnen,2010,2096,1166,79,3341,1279,1431,1910,640,2622,2771,467,21,2,1,2148,795,215,104,748,12884,21756,34640,9501,,2062569,204911,2267480
Unihockey,Unihockey,2010,807,166,34,1007,268,269,738,30,943,412,489,66,6,0,310,535,92,36,456,9130,2177,11307,1778,,1278322,127490,1405812
Volleyball,Volleyball,2010,1202,411,41,1654,422,624,1030,55,1558,1014,530,56,11,2,726,445,318,124,498,2950,13217,16167,3218,,1607609,159998,1767607
Voltigieren (Pferdesport),Pferdesport,2010,51,43,6,100,35,89,11,14,80,35,35,16,7,1,38,37,15,4,269,22,581,603,217,,69000,6858,75858
Wasserball,Schwimmsport,2010,47,14,4,65,23,28,37,12,49,14,17,20,7,3,35,11,9,6,115,444,158,602,170,,107707,10742,118449
Wasserspringen,Schwimmsport,2010,15,11,3,29,12,25,4,4,22,16,7,2,1,0,20,1,3,2,23,73,64,137,61,,14405,1429,15834
BMX (Radsport),Radsport,2011,0,2,0,2,1,0,2,0,2,0,2,0,0,0,2,0,0,0,0,21,2,23,4,,1650,165,1815
Badminton,Badminton,2011,332,179,16,527,183,207,320,109,402,425,67,11,4,4,335,49,35,92,97,2940,2036,4976,1507,,382301,38242,420543
Bahn (Radsport),Radsport,2011,2,0,0,2,1,0,2,0,2,1,1,0,0,0,2,0,0,0,0,65,9,74,7,,3979,398,4377
Baseball/Softball,Baseball/Softball,2011,2,28,0,30,14,22,8,2,28,13,16,1,0,0,20,3,5,2,0,202,29,231,86,,14004,1402,15406
Basketball,Basketball,2011,542,158,10,710,145,189,521,28,672,151,347,168,25,9,192,193,196,119,143,5253,2270,7523,1334,,1146833,114689,1261522
Curling,Curling,2011,4,71,0,75,33,58,17,2,73,43,29,3,0,0,17,13,18,27,52,300,213,513,167,,35588,3561,39149
Eishockey,Eishockey,2011,495,240,39,774,153,204,570,96,639,74,265,312,80,4,184,59,146,346,1206,8643,376,9019,2235,,1516181,151623,1667804
Eiskunstlauf/ Eistanz,Eislauf,2011,94,445,31,570,99,392,178,410,129,356,85,48,30,20,413,66,23,37,616,203,3773,3976,1372,,272919,27294,300213
Eisschnelllauf/ Short Track,Eislauf,2011,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,27,4,5,9,2,,2803,280,3083
Faustball,Turnen,2011,22,53,5,80,32,39,41,2,73,47,22,6,0,0,22,27,14,12,62,452,168,620,198,,66643,6663,73306
Fechten,Fechten,2011,98,22,3,123,32,57,66,29,91,68,35,11,5,1,71,17,14,18,49,938,415,1353,328,,126840,12686,139526
Freitauchen,Freitauchen,2011,1,1,0,2,1,2,0,0,2,1,1,0,0,0,2,0,0,0,0,9,2,11,4,,722,72,794
Fussball,Fussball,2011,2959,5937,209,9105,1406,1711,7394,161,8735,539,6048,2036,246,27,937,610,4406,2943,4384,102327,11561,113888,13200,,12651088,1265138,13916226
Geräteturnen,Geräte- und Kunstturnen,2011,837,384,49,1270,537,481,789,52,1169,566,547,99,7,2,600,398,166,57,707,3144,11640,14784,4309,,1312549,131269,1443818
Golf,Golf,2011,13,192,12,217,56,168,49,55,150,169,30,6,0,0,139,17,18,31,97,928,495,1423,491,,67813,6780,74593
Gymnastik und Tanz,Gymnastik und Tanz,2011,419,316,16,751,259,319,432,352,383,629,96,9,1,0,611,74,37,13,119,559,7263,7822,1286,,415928,41595,457523
Handball,Handball,2011,763,221,43,1027,197,232,795,28,956,235,517,185,35,12,224,278,357,125,1117,7203,3600,10803,2103,,1691425,169143,1860568
Hornussen,Hornussen,2011,16,23,0,39,39,25,14,2,37,33,6,0,0,0,13,14,7,5,0,306,29,335,83,,20141,2014,22155
Inlinehockey,Rollsport,2011,30,41,0,71,27,23,48,5,66,20,50,1,0,0,9,12,21,29,53,699,47,746,143,,80461,8046,88507
Ju-Jitsu,Ju-Jitsu,2011,104,64,7,175,87,93,82,40,128,149,18,1,0,0,168,0,0,0,40,972,497,1469,471,,92626,9268,101894
Judo,Judo,2011,581,526,34,1141,262,489,652,321,786,1042,53,10,1,1,875,88,76,68,235,8073,2990,11063,3187,,596801,59692,656493
Karate,Karate,2011,433,343,17,793,199,341,452,524,252,426,275,68,6,1,691,52,21,12,124,4914,2590,7504,2170,,559991,56015,616006
Korbball,Turnen,2011,54,49,4,107,63,53,54,10,93,82,20,0,1,0,48,36,12,7,27,241,694,935,262,,68940,6897,75837
Kunstradfahren,Radsport,2011,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4,4,5,,836,84,920
Kunstturnen,Geräte- und Kunstturnen,2011,91,57,2,150,89,113,37,0,148,38,40,29,24,17,69,36,19,24,211,421,615,1036,573,,162054,16209,178263
Landhockey,Landhockey,2011,48,6,4,58,16,31,27,1,53,20,29,5,0,0,21,18,9,6,33,319,123,442,167,,63497,6350,69847
Leichtathletik,Leichtathletik,2011,587,617,102,1306,446,464,842,56,1148,648,342,144,59,11,452,200,150,402,1212,6425,7345,13770,4031,,1250316,125050,1375366
Mountainbike,Radsport,2011,4,6,0,10,7,5,5,1,9,4,5,1,0,0,3,0,2,5,38,80,20,100,40,,11352,1136,12488
Nationalturnen,Nationalturnen,2011,19,11,0,30,26,18,12,3,27,25,5,0,0,0,9,13,5,3,7,276,22,298,91,,17663,1766,19429
Orientierungslauf,Orientierungslauf,2011,30,80,16,126,66,48,78,13,97,84,23,3,0,0,15,8,12,75,266,613,404,1017,834,,94649,9466,104115
Radball,Radsport,2011,3,0,0,3,3,3,0,1,2,3,0,0,0,0,1,1,1,0,0,12,7,19,5,,1288,129,1417
Radsport,Radsport,2011,97,193,12,302,152,171,131,19,271,194,73,21,1,1,156,35,36,63,349,1993,574,2567,1085,,256871,25694,282565
Reiten,Pferdesport,2011,76,256,36,368,65,343,25,157,175,314,13,5,0,0,301,6,9,16,263,199,1405,1604,563,,83127,8315,91442
Rettungsschwimmen,Schwimmsport,2011,88,133,4,225,72,110,115,164,57,207,10,3,1,0,186,32,3,0,51,905,1365,2270,838,,90899,9091,99990
Rhythmische Gymnastik,Gymnastik und Tanz,2011,29,43,0,72,34,51,21,2,70,17,18,24,13,0,33,13,19,7,96,10,511,521,159,,72765,7277,80042
Rhönrad,Rhönrad,2011,21,8,0,29,9,20,9,5,24,25,4,0,0,0,23,4,2,0,0,13,244,257,82,,16150,1615,17765
Ringen,Ringen,2011,31,8,4,43,24,18,25,1,38,18,10,11,0,0,10,2,4,23,43,364,16,380,170,,50192,5022,55214
Rock n` Roll,Gymnastik und Tanz,2011,52,28,7,87,31,63,24,14,66,65,12,2,1,0,63,6,9,2,28,182,405,587,216,,45333,4536,49869
Rollhockey,Rollsport,2011,32,5,1,38,13,19,19,1,36,11,23,2,1,0,8,10,10,9,3,268,44,312,85,,46998,4701,51699
Rollkunstlauf,Rollsport,2011,7,6,2,15,5,13,2,0,13,5,3,2,3,0,6,4,1,2,21,13,74,87,41,,9632,963,10595
Rugby,Rugby,2011,45,16,2,63,28,19,44,5,56,28,31,2,0,0,17,34,10,0,28,678,20,698,190,,70689,7072,77761
Schwimmen,Schwimmsport,2011,475,405,63,943,212,433,510,538,342,491,130,113,81,65,678,101,55,46,1378,3753,4598,8351,2183,,858980,85903,944883
Schwingen,Nationalturnen,2011,202,46,6,254,120,112,142,2,246,179,64,5,0,0,45,33,57,113,169,2614,45,2659,1047,,244191,24420,268611
Speedskating (Rollsport),Rollsport,2011,2,5,0,7,7,6,1,1,6,2,5,0,0,0,3,1,1,2,3,28,19,47,19,,4302,430,4732
Sportschiessen,Sportschiessen,2011,6,679,4,689,422,573,116,235,450,592,91,2,0,0,269,195,97,124,67,3793,751,4544,1405,,185435,18549,203984
Squash,Squash,2011,28,49,0,77,24,49,28,22,55,73,3,1,0,0,40,12,6,19,9,471,118,589,233,,31927,3193,35120
Strasse (Radsport),Radsport,2011,2,1,0,3,2,2,1,0,3,0,3,0,0,0,1,0,1,1,22,21,3,24,16,,3704,370,4074
Streethockey,Landhockey,2011,27,4,0,31,13,11,20,4,27,14,16,0,1,0,2,10,13,6,3,256,15,271,64,,43171,4316,47487
Synchronized Skating,Eislauf,2011,5,13,0,18,10,6,12,6,12,8,7,2,1,0,13,2,3,0,20,0,213,213,55,,13983,1399,15382
Synchronschwimmen,Schwimmsport,2011,62,17,8,87,31,50,37,5,74,19,19,27,7,7,49,25,5,0,197,7,651,658,230,,113453,11347,124800
Tanzsport,Gymnastik und Tanz,2011,10,29,0,39,16,16,23,24,15,39,0,0,0,0,30,3,2,4,0,81,366,447,51,,15188,1520,16708
Tchoukball,Tchoukball,2011,41,6,0,47,19,30,17,0,47,40,7,0,0,0,35,9,3,0,0,299,94,393,90,,33805,3381,37186
Tennis,Tennis,2011,1120,7218,75,8413,741,7939,474,5902,2436,8085,203,33,6,11,7755,208,132,243,415,24882,11535,36417,12542,,1651125,165121,1816246
Tischtennis,Tischtennis,2011,253,92,0,345,166,173,172,29,316,240,86,14,4,1,213,53,29,50,85,2582,316,2898,863,,263925,26405,290330
Trampolin,Geräte- und Kunstturnen,2011,30,26,3,59,28,42,17,0,56,36,15,5,0,0,33,9,10,4,42,175,268,443,206,,36504,3653,40157
Trial (Radsport),Radsport,2011,5,0,0,5,2,4,1,0,5,4,1,0,0,0,3,0,2,0,4,34,0,34,17,,4053,406,4459
Triathlon,Triathlon,2011,16,20,7,43,26,32,11,18,18,6,10,9,7,4,22,8,3,3,102,130,90,220,164,,33641,3364,37005
Turnen,Turnen,2011,2151,1116,69,3336,1286,1430,1906,663,2604,2785,457,24,0,1,2297,685,179,106,677,12798,22229,35027,9261,,2068305,206879,2275184
Unihockey,Unihockey,2011,820,147,43,1010,249,236,774,34,933,389,506,64,6,2,292,541,107,27,569,9252,2092,11344,1821,,1348594,134863,1483457
Volleyball,Volleyball,2011,1257,340,50,1647,424,603,1044,48,1549,1012,498,73,12,2,725,468,270,134,461,2871,12835,15706,3167,,1656746,165687,1822433
Voltigieren (Pferdesport),Pferdesport,2011,55,44,5,104,38,90,14,7,92,31,52,11,4,1,41,39,14,5,239,27,595,622,188,,76505,7651,84156
Wasserball,Schwimmsport,2011,39,10,7,56,25,21,35,9,40,10,15,17,7,0,28,9,6,6,112,413,74,487,139,,81701,8170,89871
Wasserspringen,Schwimmsport,2011,20,4,3,27,10,22,5,0,24,9,9,3,2,1,18,2,2,2,43,100,57,157,76,,22088,2210,24298
Badminton,Badminton,2012,359,164,22,545,191,215,330,112,411,442,67,10,4,0,330,61,33,99,118,2930,2098,5028,1695,,375502,37563,413065
Baseball/Softball,Baseball/Softball,2012,0,33,0,33,15,25,8,1,32,13,19,1,0,0,16,7,6,4,7,214,38,252,119,,14413,1442,15855
Basketball,Basketball,2012,545,133,18,696,143,171,525,43,635,143,362,143,21,9,198,188,193,99,175,5190,2085,7275,1502,,1134653,113468,1248121
Curling,Curling,2012,4,73,0,77,35,55,22,1,76,49,26,2,0,0,16,13,14,34,3,335,234,569,223,,36347,3638,39985
Eishockey,Eishockey,2012,482,211,31,724,140,187,537,91,602,72,260,288,69,4,160,66,163,304,1135,8206,402,8608,2254,,1407316,140738,1548054
Eiskunstlauf/ Eistanz,Eislauf,2012,129,429,40,598,103,428,170,423,135,337,95,61,41,24,437,63,23,35,663,235,3923,4158,1466,,296421,29643,326064
Eisschnelllauf/ Short Track,Eislauf,2012,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,15,4,4,8,2,,1985,199,2184
Faustball,Turnen,2012,21,69,2,92,41,48,44,2,88,50,33,7,0,0,17,40,18,15,57,567,205,772,243,,74946,7494,82440
Fechten,Fechten,2012,100,53,6,159,35,82,77,30,123,99,21,19,10,4,81,24,12,36,80,1040,488,1528,398,,153972,15397,169369
Fussball,Fussball,2012,3002,5867,204,9073,1410,1628,7445,135,8734,507,6184,1939,222,17,904,688,4451,2826,4367,103512,11278,114790,14674,,12635069,1263538,13898607
