Sportart,Sportartengruppe,Jahr,Jahreskurse,Saisonkurse,Sammellager,Total Kurse,Angebote,Kleingruppe,Grossgruppe,Kursdauer in Min. 90,Kursdauer in Min. 90 2,Trainings pro Woche 1,Trainings pro Woche 2,Trainings pro Woche 3,Trainings pro Woche 4,Trainings pro Woche 5,Wettkampf-kategorie 0,Wettkampf-kategorie 1,Wettkampf-kategorie 2,Wettkampf-kategorie 3,Trainingslagertage,Knaben,Mädchen,Total Teilnehmer,Anzahl tätige Leiter,Leiteraktivitäten,J+S-Kurspauschale,Coach entschädigung,Total Auszahlungen
Fussball,Fussball,2004,790,10263,,11053,1864,1318,9735,148,10905,1926,6804,1899,247,177,854,1590,7119,1490,10330,147462,9879,157341,14595,615579,11984925,957489,12942414
Geräteturnen,Geräte- und Kunstturnen,2004,558,709,,1267,568,321,946,57,1210,610,521,119,15,2,417,550,216,84,985,4163,12766,16929,3319,104416,1221531,97723,1319254
Gymnastik und Tanz,Gymnastik und Tanz,2004,275,250,,525,225,133,392,213,312,444,67,11,3,0,342,123,39,21,194,192,6145,6337,787,22126,325894,26077,351971
Handball,Handball,2004,530,453,,983,220,89,894,29,954,356,443,144,33,7,142,286,405,150,2097,9388,3917,13305,1670,76822,1448672,115891,1564563
Inlinehockey,Rollsport,2004,35,17,,52,23,11,41,0,52,20,30,2,0,0,2,7,22,21,45,708,38,746,89,3822,73071,5847,78918
Judo,Judo,2004,640,904,,1544,341,350,1194,466,1078,1384,136,22,2,0,891,244,188,221,966,14861,5653,20514,3533,71185,962675,76426,1039101
Ju-Jitsu,Ju-Jitsu,2004,62,116,,178,84,56,122,51,127,154,22,2,0,0,173,2,0,3,44,1288,886,2174,398,8724,89553,7168,96721
Karate,Karate,2004,484,544,,1028,223,221,807,538,490,490,405,95,35,3,600,255,94,79,641,9198,4906,14104,2067,74686,915326,72088,987414
Korbball,Turnen,2004,46,70,,116,72,40,76,13,103,85,30,1,0,0,19,38,24,35,67,508,813,1321,224,6180,87119,6969,94088
Kunstradfahren,Radsport,2004,22,48,,70,29,56,14,13,57,37,30,2,1,0,29,32,8,1,33,76,424,500,157,5149,35473,2837,38310
Kunstturnen,Geräte- und Kunstturnen,2004,99,142,,241,141,112,129,6,235,55,47,57,55,27,80,80,58,23,644,1153,1228,2381,780,33269,336957,26958,363915
Landhockey,Landhockey,2004,46,12,,58,18,6,52,0,58,29,29,0,0,0,14,22,17,5,81,533,191,724,147,5329,76915,6154,83069
Leichtathletik,Leichtathletik,2004,518,872,,1390,466,362,1028,59,1331,666,394,202,78,50,269,474,335,312,3381,9847,10369,20216,3476,118426,1609120,128729,1737849
Mountainbike,Radsport,2004,35,71,,106,63,51,55,9,97,63,31,11,1,0,49,26,18,13,271,1144,260,1404,344,8495,86717,6941,93658
Nationalturnen,Nationalturnen,2004,17,17,,34,26,16,18,0,34,25,9,0,0,0,5,14,10,5,0,348,32,380,87,2297,21277,1702,22979
Orientierungslauf,Orientierungslauf,2004,41,71,,112,69,30,82,5,107,82,26,4,0,0,13,33,38,28,460,776,595,1371,545,8849,107155,8402,115557
Quer (Radsport),Radsport,2004,12,4,,16,10,9,7,3,13,12,4,0,0,0,5,4,5,2,44,146,13,159,55,1606,13010,1040,14050
Radball,Radsport,2004,11,20,,31,17,14,17,2,29,18,9,4,0,0,14,6,5,6,43,315,6,321,70,2188,25501,1929,27430
Reiten,Pferdesport,2004,93,190,,283,54,255,28,105,178,259,17,4,3,0,235,29,10,9,321,168,1758,1926,354,9513,89720,7175,96895
